estu_nacionalidad	estu_depto_reside	estu_mcpio_reside	estu_estudiante	estu_nse_individual	estu_nse_establecimiento	punt_lectura_critica	punt_matematicas	punt_c_naturales	punt_sociales_ciudadanas	punt_ingles	punt_global	cole_jornada	cole_naturaleza	cole_area_ubicacion	fami_estratovivienda	estu_edad	estu_genero	fami_situacioneconomica	fami_comecarnepescadohuevo	fami_numlibros	estu_dedicacionlecturadiaria	estu_dedicacioninternet	fami_tienecomputador	tiene_vehiculo	edu_max_padres	hacinamiento	trabaja_cat	glo	cole_tipo
COLOMBIA	TOLIMA	CHAPARRAL	ESTUDIANTE	2	2	49	57	57	51	58	269	MAÑANA	OFICIAL	URBANO	Estrato 1	Edad.17a18	M	Mejor	1 o 2 veces por semana	0 A 10 LIBROS	Entre 30 y 60 minutos	No Navega Internet	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	65	58	62	50	76	300	MAÑANA	OFICIAL	URBANO	Estrato 3	Edad.17a18	M	Mejor	Todos o casi todos los días	26 A 100 LIBROS	Entre 1 y 2 horas	Más de 3 horas	Si	VEH.No	Edu.Técnico	HAC.NO	Trabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	66	66	61	58	73	318	COMPLETA	NO OFICIAL	URBANO	Estrato 3	Edad.15a16	F	Igual	Todos o casi todos los días	26 A 100 LIBROS	30 minutos o menos	Entre 1 y 3 horas	Si	VEH.No	Edu.Profesional	HAC.NO	Trabaja	Glo.Alto	Urbano/No_Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	34	39	29	24	39	160	TARDE	OFICIAL	URBANO	Estrato 5	Edad.15a16	M	Mejor	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.Sí	Edu.Técnico	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	1	3	49	56	55	55	54	269	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Mejor	1 o 2 veces por semana	0 A 10 LIBROS	Entre 30 y 60 minutos	No Navega Internet	No	VEH.No	Edu.Profesional	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	NATAGAIMA	ESTUDIANTE	1	1	32	33	41	31	39	173	UNICA	OFICIAL	RURAL	Estrato 1	Edad.17a18	M	Mejor	3 a 5 veces por semana	0 A 10 LIBROS	Entre 30 y 60 minutos	30 minutos o menos	No	VEH.Sí	Edu.Bachiller	HAC.SI	NoTrabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	3	63	63	63	57	61	307	MAÑANA	OFICIAL	URBANO	Estrato 3	Edad.17a18	F	Igual	Todos o casi todos los días	11 A 25 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	LÉRIDA	ESTUDIANTE	3	2	62	33	51	59	62	260	MAÑANA	OFICIAL	URBANO	Estrato 4	Edad.15a16	F	Igual	1 o 2 veces por semana	0 A 10 LIBROS	Entre 1 y 2 horas	Más de 3 horas	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	VENADILLO	ESTUDIANTE	1	2	63	55	53	51	51	276	MAÑANA	OFICIAL	RURAL	Estrato 2	Edad.15a16	F	Igual	1 o 2 veces por semana	11 A 25 LIBROS	Entre 1 y 2 horas	Entre 1 y 3 horas	No	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.MAlto	Rural/Oficial
COLOMBIA	TOLIMA	FRESNO	ESTUDIANTE	1	2	50	53	42	44	46	236	UNICA	OFICIAL	URBANO	Estrato 1	Edad.15a16	M	Igual	1 o 2 veces por semana	0 A 10 LIBROS	30 minutos o menos	No Navega Internet	No	VEH.No	Edu.Primaria	HAC.NO	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	2	2	31	28	41	27	36	160	MAÑANA	OFICIAL	URBANO	Estrato 3	Edad.15a16	M	Mejor	Todos o casi todos los días	11 A 25 LIBROS	Entre 1 y 2 horas	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	50	50	47	47	51	243	MAÑANA	OFICIAL	URBANO	Estrato 3	Edad.17a18	M	Igual	3 a 5 veces por semana	11 A 25 LIBROS	30 minutos o menos	Entre 30 y 60 minutos	No	VEH.Sí	Edu.Técnico	HAC.NO	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	4	62	55	61	64	68	305	COMPLETA	NO OFICIAL	URBANO	Estrato 4	Edad.17a18	F	Igual	Todos o casi todos los días	11 A 25 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.Alto	Urbano/No_Oficial
COLOMBIA	TOLIMA	FRESNO	ESTUDIANTE	3	3	42	47	44	47	56	229	UNICA	NO OFICIAL	URBANO	Estrato 3	Edad.17a18	M	Mejor	Todos o casi todos los días	0 A 10 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/No_Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	1	3	55	51	52	60	64	276	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Peor	Nunca o rara vez comemos eso	11 A 25 LIBROS	Entre 1 y 2 horas	Entre 30 y 60 minutos	No	VEH.No	Edu.Primaria	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	61	53	54	62	53	286	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Peor	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	3	59	63	53	62	59	296	UNICA	OFICIAL	URBANO	Estrato 3	Edad.15a16	F	Igual	Todos o casi todos los días	MÁS DE 100 LIBROS	No leo por entretenimiento	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	HONDA	ESTUDIANTE	4	3	48	39	42	36	59	213	COMPLETA	NO OFICIAL	URBANO	Estrato 3	Edad.15a16	F	Mejor	Todos o casi todos los días	11 A 25 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/No_Oficial
COLOMBIA	TOLIMA	SAN SEBASTIÁN DE MARIQUITA	ESTUDIANTE	3	2	68	64	63	64	62	323	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Igual	3 a 5 veces por semana	11 A 25 LIBROS	Entre 30 y 60 minutos	Entre 1 y 3 horas	No	VEH.Sí	Edu.Profesional	HAC.NO	Trabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	54	55	54	52	54	269	TARDE	OFICIAL	URBANO	Estrato 3	Edad.15a16	F	Igual	Todos o casi todos los días	0 A 10 LIBROS	30 minutos o menos	Entre 1 y 3 horas	Si	VEH.No	Edu.Técnico	HAC.NO	Trabaja	Glo.MAlto	Urbano/Oficial
